Expiry,Tenor,Forward,alpha,rho,nu
1.0,1.0,0.03372377085155799,0.0009101735704839497,-0.6229931518149776,0.02324453398225497
1.0,2.0,0.03452525990984249,0.0012144829763566542,-0.49949165479072666,0.018642522176236718
1.0,3.0,0.03524716466891071,0.0012779922140216116,-0.4516039753991411,0.015667757871142718
1.0,5.0,0.03660762392451535,0.0011371141103356124,-0.3776485650649522,0.01137592652631843
1.0,10.0,0.03900727315539887,0.0010872225590259023,-0.2064439791042229,0.00807324907193369
5.0,1.0,0.039467935066241126,0.0011910994810397024,-0.5537619815385516,0.01511004679980747
5.0,2.0,0.039911140486526324,0.0012269664069276935,-0.8608084252414587,0.015055357601085406
5.0,3.0,0.040339125272996275,0.0013414991049290244,-0.504689281345884,0.009262096124072952
5.0,5.0,0.041099628655714586,0.001197974354506774,-0.4558719520842633,0.006455904222718443
5.0,10.0,0.04228069832093373,0.0011117787621963548,-0.35593008307590984,0.004642714637095588
10.0,1.0,0.04364537984955356,0.0012996328045117094,-0.5119007131482363,0.011714569377545295
10.0,2.0,0.04349980874977657,0.0013358978609226946,-0.5026419062613812,0.0096873604139884
10.0,3.0,0.04369791846387705,0.0013443307503237137,-0.5041253613979217,0.008368814939579442
10.0,5.0,0.04374806893076561,0.0012590611423690596,-0.7383930912869062,0.004265040868698231
10.0,10.0,0.04353999529275519,0.0011139677088229862,-0.42328896602222044,0.004245270597596788
